YEAR,CONAME,SALES,ROEPER,ROA,MKTVAL,GVKEY,TICKER,EXEC_FULLNAME,TITLEANN,SALARY,BONUS,TDC1,RSTKGRNT,OPTION_AWARDS_BLK_VALUE,Majority_Independent,Nom,CG,Comp,Audit
2005,EDISON INTERNATIONAL,11852,16.75,3.185,14208.618,009846,EIX,John E. Bryson,"chairman, president & CEO; chairman-SCE",1160,2100,17292.714,0,4150.593,1,0,0,1,0
2000,LAUDER (ESTEE) COS INC -CL A,4366.8,25.054,9.552,11756.237,061567,EL,Fred H. Langhammer,pres. & CEO,1900,2400,37235.482,1500,31087.338,0,0,0,0,0
2001,LAUDER (ESTEE) COS INC -CL A,4608.1,21.004,8.823,10264.093,061567,EL,Fred H. Langhammer,president & CEO,2000,2793,17863.197,2000,9252.582,1,0,0,0,1
2004,ELECTRONICS BOUTIQUE HLDG CP,1989.382,14.877,7.22,851.95,112775,ELBO,Jeffrey W. Griffiths,president & CEO,531.135,390,1483.79,0,533.847,1,0,0,0,0
2000,ELKCORP,350.275,18.487,9.279,451.053,004251,ELK,Harold K. Work,"chmn., pres. & CEO",460,144.953,2162.868,0,1462.157,1,0,0,1,0
2001,ELKCORP,379.156,5.405,2.434,389.387,004251,ELK,Harold K. Work,chairman,473.25,10.754,1463.367,0,884.051,0,0,0,0,0
2002,ELKCORP,506.526,8.571,3.957,530.18,004251,ELK,Thomas D. Karol,president & CEO,450,361.059,1331.201,80.03100000000001,407.049,1,1,1,1,1
2003,ELKCORP,506.146,12.263,5.451,439.402,004251,ELK,Thomas D. Karol,chairman & CEO,495,145.627,2163.595,72.94199999999999,1353.949,0,0,0,0,0
2004,ELKCORP,572.976,14.727,6.588,469.583,004251,ELK,Thomas D. Karol,chairman & CEO,565,379.782,2589.861,189.858,1386.266,1,1,1,1,1
2005,ELKCORP,761.7190000000001,15.766,6.959,575.654,004251,ELK,Thomas D. Karol,chairman & CEO,615,674.163,3124.841,1435.578,312.439,1,1,1,0,1
2000,EARTHLINK HOLDINGS CORP,986.63,-31.277,-24.873,653.66,062391,ELNK,Charles G. Betty,CEO,353.076,133.652,2823.068,0,2332.281,0,0,0,0,0
2001,ELANTEC SEMICONDUCTOR INC,112.507,3.34,3.053,519.542,061410,ELNT,Richard M. Beyer,president & CEO,295.385,76.47499999999999,3281.205,0,2901.325,1,0,0,0,1
2000,CALLAWAY GOLF CO,837.627,16.015,12.99,1431.517,024978,ELY,Ely R. Callaway,"chairman, president & CEO",976.504,600,2257.135,0,655.318,1,0,0,0,0
2001,CALLAWAY GOLF CO,816.163,11.349,9.013999999999999,1491.268,024978,ELY,Ronald A. Drapeau,"chairman, president & CEO",656.52,275,4034.957,0,3082.435,1,1,0,1,0
2002,CALLAWAY GOLF CO,792.064,12.78,10.215,1006.788,024978,ELY,Ronald A. Drapeau,"chairman, president & CEO",700,250,2079.08,0,1112.837,1,0,0,0,0
2003,CALLAWAY GOLF CO,814.032,7.724,6.081,1273.169,024978,ELY,Ronald A. Drapeau,chairman & CEO,733.654,350,1860.584,0,735.687,1,1,1,0,0
2004,CALLAWAY GOLF CO,934.564,-1.723,-1.373,1029.834,024978,ELY,Ronald A. Drapeau,chairman & CEO,762.26,0,2476.296,0,1032.377,1,1,1,1,0
2005,CALLAWAY GOLF CO,998.093,2.229,1.738,1058.068,024978,ELY,William C. Baker,chairman & CEO,551.462,0,551.462,0,0,1,1,1,0,0
2000,EMC CORP/MA,8872.816000000001,21.793,16.767,144995.071,012053,EMC,Michael C. Ruettgers,CEO,1000,1809.88,13914.478,0,11012.966,0,0,0,0,0
2001,EMC CORP/MA,7090.633,-6.68,-5.134,29777.194,012053,EMC,Joseph Michael Tucci,president & CEO,1000,700,60290.749,0,58521.448,0,0,0,0,0
2002,EMC CORP/MA,5438.352,-1.643,-1.238,13506.686,012053,EMC,Joseph Michael Tucci,president & CEO,1000,675,9259.968999999999,0,7522.67,0,0,0,0,0
2003,EMC CORP/MA,6236.808,4.558,3.52,31081.528,012053,EMC,Joseph Michael Tucci,president & CEO,1000,1712.5,17287.529,3690.4,10760.622,1,0,0,0,1
2004,EMC CORP/MA,8229.487999999999,7.56,5.649,35632.669,012053,EMC,Joseph Michael Tucci,president & CEO,1000,1880.557,17112.751,4369,9712.272999999999,1,0,0,0,0
2003,EMCOR GROUP INC,4534.646,3.955,1.149,659.115,006223,EME,Francis T. MacInnis,chairman & CEO,800,200,2472.18,117.638,1300.522,1,0,0,0,0
2004,EMCOR GROUP INC,4747.88,5.905,1.827,684.838,006223,EME,Francis T. MacInnis,chairman & CEO,820,656.25,2924.092,0,1387.647,1,1,1,1,1
2005,EMCOR GROUP INC,4714.547,9.959,3.445,1048.876,006223,EME,Francis T. MacInnis,chairman & CEO,840,1763.979,4470.822,0,1807.109,1,1,1,0,0
2001,EMMIS COMMUNICATIONS CP-CL A,533.78,-9.789999999999999,-2.869,1273.843,015337,EMMS,Jeffrey H. Smulyan,"chairman, president & CEO",750.947,0,868.547,0,0,0,0,0,0,0
2002,EMMIS COMMUNICATIONS CP-CL A,562.3630000000001,.719,.239,1059.695,015337,EMMS,Jeffrey H. Smulyan,"chairman, president & CEO",624.8,820.749,1732.181,285.632,0,0,0,0,0,0
2003,EMMIS COMMUNICATIONS CP-CL A,591.8680000000001,.439,.143,1393.462,015337,EMMS,Jeffrey H. Smulyan,"chairman, president & CEO",640.105,822.246,1708.726,244.375,0,0,0,0,0,0
2004,EMMIS COMMUNICATIONS CP-CL A,618.46,-11.642,-2.89,1053.726,015337,EMMS,Jeffrey H. Smulyan,"chairman, president & CEO",664,1084.561,6601.415,162.522,4688.332,1,0,0,0,0
2005,EMMIS COMMUNICATIONS CP-CL A,387.381,-12.227,-2.196,604.168,015337,EMMS,Jeffrey H. Smulyan,"chairman, president & CEO",684,1088.6,4122.438,170.788,2177.05,0,0,0,0,0
2000,EASTMAN CHEMICAL CO,5292,16.722,4.626,3742.733,029392,EMN,"Earnest W. Deavenport, Jr.",chairman & CEO,960,1171.035,4148.535,0,1147.031,1,0,0,0,0
2001,EASTMAN CHEMICAL CO,5390,-12.663,-2.873,3008.637,029392,EMN,"Earnest W. Deavenport, Jr.",chairman & CEO,990,0,5711.407,1083.3,2920.701,1,0,0,0,0
2002,EASTMAN CHEMICAL CO,5320,6.216,1.259,2842.836,029392,EMN,James Brian Ferguson,chairman & CEO,689.051,318.416,4951.881,1000.034,2613.105,1,0,0,0,0
2003,EASTMAN CHEMICAL CO,5800,-26.174,-4.382,3058.318,029392,EMN,James Brian Ferguson,chairman & CEO,787.831,305,2880.601,0,1546.675,1,0,0,0,0
2004,EASTMAN CHEMICAL CO,6580,14.358,2.895,4498.841,029392,EMN,James Brian Ferguson,chairman & CEO,825.046,1275,3425.766,0,1267.602,1,0,0,0,0
2005,EASTMAN CHEMICAL CO,7059,34.553,9.648,4203.656,029392,EMN,James Brian Ferguson,chairman & CEO,951.538,2500,8043.537,0,2037.321,1,0,0,0,0
2000,EMERSON ELECTRIC CO,15544.8,22.215,9.380000000000001,28619.72,004321,EMR,Charles F. Knight,chmn. & CEO,1400,6000,11972.399,3203.125,1196.105,0,0,0,0,0
2001,EMERSON ELECTRIC CO,15479.6,16.876,6.857,20139.609,004321,EMR,David N. Farr,CEO & chief operating officer,700,540,9707.898999999999,6681.25,1735.2,0,0,0,0,0
2002,EMERSON ELECTRIC CO,13824,18.464,7.288,18498.476,004321,EMR,David N. Farr,CEO & chief operating officer,925,500,5810.585,929.6,1428.619,0,0,0,0,0
2003,EMERSON ELECTRIC CO,13958,15.681,6.667,22167.651,004321,EMR,David N. Farr,CEO,1000,1000,4456.197,2251,0,0,0,0,0,0
2004,EMERSON ELECTRIC CO,15615,17.367,7.683,26002.588,004321,EMR,David N. Farr,chairman & CEO,1000,1500,5862.258,3162.75,0,1,0,0,0,0
2005,EMERSON ELECTRIC CO,17305,19.216,8.254,29660.077,004321,EMR,David N. Farr,"chairman, president  & CEO",1050,2000,15762.293,3887.95,1671.222,1,0,0,0,0
2000,ENTRUST INC,148.377,-12.204,-11.205,814.0599999999999,113609,ENTU,John A. Ryan,president & CEO,250,81,5464.914,0,5128.814,1,0,0,0,0
2001,ENTRUST INC,117.965,-400.215,-236.958,650.631,113609,ENTU,Frank William Conner,president & CEO,346.154,1500,24088.088,0,22241.414,1,0,0,0,0
2000,ENZO BIOCHEM INC,50.029,7.6,7.179,1360.215,004418,ENZ,Elazar Rabbani,chmn. & CEO,301.091,195,496.091,0,0,1,0,0,0,1
2002,ENZO BIOCHEM INC,54.015,6.61,6.334,376.394,004418,ENZ,Elazar Rabbani,chairman & CEO,367.656,245,612.6559999999999,0,0,1,0,0,0,1
2003,ENZO BIOCHEM INC,52.767,3.514,3.317,619.806,004418,ENZ,Elazar Rabbani,chairman & CEO,402.963,275,1714.322,0,1036.359,1,0,0,0,0
2004,ENZO BIOCHEM INC,41.644,-5.983,-5.648,420.671,004418,ENZ,Elazar Rabbani,chairman & CEO,430.942,275,1679.771,0,973.829,1,0,0,0,0
2005,ENZO BIOCHEM INC,43.403,2.775,2.579,539.259,004418,ENZ,Elazar Rabbani,chairman & CEO,442.2,283.25,1232.772,0,507.322,1,1,1,0,0
2000,EOG RESOURCES INC,1481.53,31.279,12.86,6410.954,016478,EOG,Mark G. Papa,chairman & CEO,592.319,408.2,3294.808,242.017,2004.571,1,0,0,1,1
2001,EOG RESOURCES INC,1653.953,25.926,11.354,4516.54,016478,EOG,Mark G. Papa,chairman & CEO,664.808,0,7286.406,3750.93,2733.72,1,0,0,1,1
2002,EOG RESOURCES INC,1093.93,4.995,1.996,4612.237,016478,EOG,Mark G. Papa,chairman & CEO,733.654,0,5765.475,883.678,3923.21,1,1,0,1,1
2003,EOG RESOURCES INC,1739.98,20.542,8.975,5313.521,016478,EOG,Mark G. Papa,chairman & CEO,813.846,550,9683.85,5443.038,2650.082,1,1,1,1,1
2004,EOG RESOURCES INC,2268.892,21.568,10.588,8461.512000000001,016478,EOG,Mark G. Papa,chairman & CEO,905.538,846,6809.031,825.034,3956.386,1,1,1,1,1
2005,EOG RESOURCES INC,3598.465,29.691,16.15,17724.798,016478,EOG,Mark G. Papa,chairman & CEO,940,1000,6902.529,1128.011,3528.306,1,1,1,1,1
2003,EQUITY OFFICE PROPERTIES TR,3297.383,5.109,2.056,11453.21,065048,EOP,Richard D. Kincaid,president & CEO,650,1000.013,4149.803,1692.57,712.5700000000001,1,0,0,0,0
2004,EQUITY OFFICE PROPERTIES TR,3254.457,1.287,.473,11742.378,065048,EOP,Richard D. Kincaid,president & CEO,685.46,750,4609.015,1987.497,1053.072,1,0,0,0,0
2005,EQUITY OFFICE PROPERTIES TR,3085.481,2.244,.736,12319.136,065048,EOP,Richard D. Kincaid,president & CEO,748.72,562.5,4906.667,2250.014,1181.25,1,0,0,0,0
2002,EL PASO CORP,12194,-15.387,-2.789,4168.796,004242,EP,William A. Wise,chairman & CEO,1430.004,0,1915.364,0,0,1,1,0,0,0
2003,EL PASO CORP,6711,-13.768,-1.661,5053.386,004242,EP,"Ronald L. Kuehn, Jr.",CEO,568.462,600,3321.117,247.5,156.33,1,0,0,0,0
2005,EL PASO CORP,4017,-27.624,-2.29,8018.572,004242,EP,Douglas L. Foshee,president & CEO,937.503,1400,6545.117,2069.306,1759.57,1,0,0,0,0
2000,EPICOR SOFTWARE CORP -OLD,219.768,-153.335,-30.222,33.681,025859,EPIC,L. George Klaus,chairman & CEO,630,73.70999999999999,1263.909,0,0,0,0,0,0,0
2004,EPIQ SYSTEMS INC,125.42,6.481,3.775,261.763,064346,EPIQ,Tom W. Olofson,chairman & CEO,650,562.5,2300.73,0,972.4109999999999,1,1,0,1,1
2005,EPIQ SYSTEMS INC,106.33,-2.735,-.918,333.887,064346,EPIQ,Tom W. Olofson,chairman & CEO,675,600,3477.631,0,1990.573,1,1,0,1,1
2004,EPR PROPERTIES,125.634,8.215,3.976,1131.615,065710,EPR,David M. Brain,president & CEO,385.688,462.825,1108.454,18.335,241.606,1,1,1,1,1
2005,EPR PROPERTIES,165.543,8.66,4.081,1054.651,065710,EPR,David M. Brain,president & CEO,401,361,1318.53,24.516,313.404,1,1,1,1,0
2001,EPRESENCE INC,65.03700000000001,-40.093,-26.865,96.755,025631,EPRE,William P. Ferry,"chairman, president & CEO",550,223,3066.545,0,2278.044,1,0,0,0,1
2002,EPRESENCE INC,43.824,-41.959,-27.236,43.949,025631,EPRE,William P. Ferry,"chairman, president & CEO",550,124,1335.027,0,191.595,1,0,0,1,1
2000,EQUITY RESIDENTIAL,2047.973,9.988,3.613,7280.508,028733,EQR,Douglas Crocker II,president & CEO,700,1500,4897.561,1699.997,987.9640000000001,0,0,0,0,0
2003,EQUITY RESIDENTIAL,1829.415,2.172,.823,8128.854,028733,EQR,Bruce W. Duncan,president & CEO,750,760,3910.92,1921.871,479.049,1,0,0,0,0
2004,EQUITY RESIDENTIAL,1892.861,1.838,.645,10230.474,028733,EQR,Bruce W. Duncan,president & CEO,750,800,5431.031,2617.469,1259.562,1,0,0,0,0
2005,EQUITY RESIDENTIAL,2023.924,2.013,.698,11273.054,028733,EQR,Bruce W. Duncan,CEO,750,1110,9439.790999999999,3589.622,1560.795,1,0,0,0,0
2000,EQT CORP,1652.218,15.305,4.323,2178.453,004430,EQT,Murry Steven Gerber,"chairman, president & CEO",557.696,1000,7913.592,0,1807.952,1,0,0,1,0
2001,EQT CORP,1764.491,17.941,6.027,2178.947,004430,EQT,Murry Steven Gerber,"chairman, president & CEO",578.853,650,5281.003,0,3600.978,1,0,0,1,0
2002,EQT CORP,1069.068,19.345,6.181,2189.895,004430,EQT,Murry Steven Gerber,"chairman, president & CEO",602.316,1200,6005.421,1206.8,2943.667,1,0,0,0,0
2003,EQT CORP,1047.277,17.979,5.904,2671.899,004430,EQT,Murry Steven Gerber,"chairman, president & CEO",580.008,880,2267.517,0,754.066,1,0,0,0,0
2004,EQT CORP,1191.609,31.995,8.755000000000001,3727.436,004430,EQT,Murry Steven Gerber,"chairman, president & CEO",580.008,1975,9844.918,940.5,0,1,0,0,0,1
2005,EQT CORP,1253.724,72.947,7.736,4434.83,004430,EQT,Murry Steven Gerber,"chairman, president & CEO",580.008,0,20564.033,118.32,0,1,0,0,0,0
2000,ELECTRO SCIENTIFIC INDS INC,496.172,27.526,24.549,993.255,004274,ESIO,Donald R. VanLuvanee,president & CEO,391.54,1250,4684.008,0,2597.893,1,0,0,1,0
2001,ELECTRO SCIENTIFIC INDS INC,162.885,-4.997,-3.378,724.61,004274,ESIO,Donald R. VanLuvanee,president & CEO,453.75,0,4668.453,0,3690.722,1,0,0,1,0
2002,ELECTRO SCIENTIFIC INDS INC,136.885,-16.14,-10.195,418.593,004274,ESIO,David F. Bolender,"chairman, president & CEO",288.044,0,871.4450000000001,0,534.357,1,0,0,1,0
2003,ELECTRO SCIENTIFIC INDS INC,207.242,3.637,2.213,640.239,004274,ESIO,Barry L. Harmon,president & CEO,247.5,0,854.329,0,583.053,1,0,0,0,1
2004,ELECTRO SCIENTIFIC INDS INC,233.371,5.554,4.916,511.9,004274,ESIO,Nicholas Konidaris,president & CEO,395,300,1686.161,342.8,610.403,1,0,0,0,0
2005,ELECTRO SCIENTIFIC INDS INC,207.006,5.364,4.76,576.711,004274,ESIO,Nicholas Konidaris,president & CEO,435.069,462.84,3247.187,388.4,1954.161,1,0,0,0,0
2001,ESTERLINE TECHNOLOGIES CORP,491.235,9.380000000000001,5.87,280.837,004460,ESL,Robert William Cremin,"chairman, president & CEO",454.583,259.749,1609.873,0,667.216,1,0,0,0,0
2002,ESTERLINE TECHNOLOGIES CORP,434.809,8.826000000000001,5.479,377.084,004460,ESL,Robert William Cremin,"chairman, president & CEO",490,294.3,1313.93,0,362.155,1,0,0,0,0
2003,ESTERLINE TECHNOLOGIES CORP,562.454,7.551,3.715,465.903,004460,ESL,Robert William Cremin,"chairman, president & CEO",540,302.543,1584.442,0,326.399,1,0,0,0,0
2004,ESTERLINE TECHNOLOGIES CORP,628.169,7.279,3.578,673.396,004460,ESL,Robert William Cremin,"chairman, president & CEO",640,276.75,1713.263,0,573.388,1,0,0,0,0
2005,ESTERLINE TECHNOLOGIES CORP,835.403,8.220000000000001,4.576,953.11,004460,ESL,Robert William Cremin,"chairman, president & CEO",685.833,2097.302,3984.629,0,1195.194,1,0,0,0,0
2000,EXPRESS SCRIPTS HOLDING CO,6786.864,-1.137,-.352,3946.543,025356,ESRX,Barrett A. Toan,president & CEO,650,1170,10840.027,4898.938,4034.789,0,0,0,0,0
2001,EXPRESS SCRIPTS HOLDING CO,9328.781999999999,15.033,5.002,3702.129,025356,ESRX,Barrett A. Toan,president & CEO,696.152,1430,3403.819,0,1158.898,0,0,0,0,0
2002,EXPRESS SCRIPTS HOLDING CO,12260.634,20.328,6.357,3742.556,025356,ESRX,Barrett A. Toan,chairman & CEO,750,1303.5,3169.463,0,977.163,0,0,0,0,0
2003,EXPRESS SCRIPTS HOLDING CO,13294.517,20.991,7.352,5217.611,025356,ESRX,Barrett A. Toan,chairman & CEO,750,637.5,2805.91,1287.2,0,0,0,0,0,0
2004,EXPRESS SCRIPTS HOLDING CO,15109.228,23.255,7.728,5808.217,025356,ESRX,Barrett A. Toan,chairman & CEO,778.846,375,2158.739,0,907.991,1,0,0,0,0
2005,EXPRESS SCRIPTS HOLDING CO,16266,27.304,7.282,12204.129,025356,ESRX,George Paz,president & CEO,625,1200.5,4005.344,0,1917.744,1,0,0,0,0
2003,ESSEX PROPERTY TRUST,234.45,6.515,2.128,1463.51,030293,ESS,Keith R. Guericke,"vice chairman, president & CEO",300,0,300,0,0,1,0,0,0,0
2004,ESSEX PROPERTY TRUST,351.032,13.602,3.474,1923.126,030293,ESS,Keith R. Guericke,"vice chairman, president & CEO",278,600,1595.033,717.033,0,1,0,0,0,0
2005,ESSEX PROPERTY TRUST,354.942,8.901,2.21,2107.139,030293,ESS,Keith R. Guericke,"vice chairman, president & CEO",297.115,662,1922.635,963.52,0,1,0,0,0,0
2001,ESS TECHNOLOGY INC,271.38,6.207,4.616,885.16,061396,ESST,Robert L. Blair,president & CEO,260,260,1158.792,0,637.826,0,0,0,0,0
2002,ESS TECHNOLOGY INC,273.442,16.252,13.237,272.225,061396,ESST,Robert L. Blair,president & CEO,328.756,0,1989.7,0,1660.116,1,0,0,0,1
2003,ESS TECHNOLOGY INC,195.273,11.137,7.173,661.888,061396,ESST,Robert L. Blair,president & CEO,328,150,3557.17,0,3079.106,1,0,0,0,1
2005,ESS TECHNOLOGY INC,181.921,-106.663,-57.933,136.545,061396,ESST,Robert L. Blair,president & CEO,328,0,1332.41,0,1004.06,1,0,0,0,1
2000,ETHAN ALLEN INTERIORS INC,856.171,23.193,16.662,949.176,023252,ETH,M. Farooq Kathwari,"chmn., pres. & CEO",726.823,2027,2814.903,2,0,1,0,0,0,1
2001,ETHAN ALLEN INTERIORS INC,904.133,17.143,12.87,1280.402,023252,ETH,M. Farooq Kathwari,"chairman, president & CEO",747.78,1642,2806.22,12,0,1,0,0,0,1
2002,ETHAN ALLEN INTERIORS INC,892.288,16.091,11.943,1350.019,023252,ETH,M. Farooq Kathwari,"chairman, president & CEO",770.559,1575,2365.459,0,0,1,0,0,0,1
2003,ETHAN ALLEN INTERIORS INC,907.264,14.019,10.304,1304.823,023252,ETH,M. Farooq Kathwari,"chairman, president & CEO",850,1100,9772.066999999999,367.815,7421.752,1,1,1,0,1
2004,ETHAN ALLEN INTERIORS INC,955.107,17.424,12.072,1338.725,023252,ETH,M. Farooq Kathwari,"chairman, president & CEO",873,1073,6362.198,366.555,3620.243,1,0,0,0,0
2005,ETHAN ALLEN INTERIORS INC,949.0119999999999,18.278,12.626,1189.538,023252,ETH,M. Farooq Kathwari,"chairman, president & CEO",913.995,663,3688.244,372.96,1667.989,1,0,0,0,0
2000,ENTERCOM COMMUNICATIONS CORP,352.025,6.423,3.206,1547.311,117902,ETM,Joseph M. Field,chairman & CEO,600,400,2864.709,0,1864.709,0,0,0,0,0
2001,ENTERCOM COMMUNICATIONS CORP,332.897,2.359,1.24,2266.15,117902,ETM,Joseph M. Field,chairman & CEO,600,267,3501.475,0,2634.475,0,0,0,0,0
2002,ENTERCOM COMMUNICATIONS CORP,391.289,6.269,3.559,2313.484,117902,ETM,David J. Field,CEO,550,500,4839.966,0,3789.966,0,0,0,0,0
2003,ENTERCOM COMMUNICATIONS CORP,401.056,6.958,4.552,2676.069,117902,ETM,David J. Field,CEO,656.688,500,5189.718,224.75,3808.28,0,0,0,0,0
2004,ENTERCOM COMMUNICATIONS CORP,423.455,7.593,4.535,2056.641,117902,ETM,David J. Field,CEO,673.5,550,6103.22,237.75,4641.97,1,0,0,0,0
2005,ENTERCOM COMMUNICATIONS CORP,432.52,8.847,4.616,1362.832,117902,ETM,David J. Field,CEO,693.201,575,1427.701,159.5,0,1,0,0,0,0
2000,EATON CORP PLC,8309,15.062,4.438,5481.169,004199,ETN,Stephen R. Hardis,chairman & CEO,583.345,462.231,5753.064,0,3097.317,1,0,0,0,0
2001,EATON CORP PLC,7299,6.828,2.21,5156.613,004199,ETN,Alexander M. Cutler,"chairman, president & CEO",941.67,654.588,4554.59,699.1,1900.959,1,1,1,1,0
2002,EATON CORP PLC,7209,12.207,3.937,5616.109,004199,ETN,Alexander M. Cutler,"chairman, president & CEO",950.004,1745.633,7108.744,944.79,2430.95,1,1,1,0,0
2003,EATON CORP PLC,8061,12.384,4.694,8206.48,004199,ETN,Alexander M. Cutler,"chairman, president & CEO",950.004,1504.807,7654.175,931.665,2315.047,1,0,0,0,0
2004,EATON CORP PLC,9817,17.97,7.14,10991.484,004199,ETN,Alexander M. Cutler,"chairman, president & CEO",979.3339999999999,2167.44,13178.101,1593,3777.588,1,1,1,1,0
2005,EATON CORP PLC,11115,21.308,7.878,9929.32,004199,ETN,Alexander M. Cutler,"chairman, president & CEO",1018.05,1670.259,14175.926,1036.35,3883.231,1,1,1,0,0
2000,ENTERGY CORP,10016.148,9.699,2.657,9291.656000000001,007366,ETR,J. Wayne Leonard,CEO,836.538,1190,6055.768,0,1607.171,1,0,0,0,0
2001,ENTERGY CORP,9532.799000000001,9.425000000000001,2.712,8669.317999999999,007366,ETR,J. Wayne Leonard,CEO,897.5,1684.8,12933.277,7400,2947.268,1,0,0,0,0
2002,ENTERGY CORP,8305.035,7.647,2.224,10121.573,007366,ETR,J. Wayne Leonard,CEO,962.5,1450.4,7832.918,0,3022.084,1,0,0,0,0
2003,ENTERGY CORP,9194.92,9.074999999999999,2.766,13071.858,007366,ETR,J. Wayne Leonard,CEO,1038.461,1197.8,7330.822,0,2050.21,1,0,0,0,0
2004,ENTERGY CORP,10123.724,10.962,3.213,15109.407,007366,ETR,J. Wayne Leonard,CEO,1088.769,1540,10355.403,0,2997.211,1,0,0,0,0
2005,ENTERGY CORP,10106.247,12.181,3.057,14243.502,007366,ETR,J. Wayne Leonard,CEO,1123.607,1246.3,7767.486,0,2176.85,1,0,0,0,0
2001,ENTERASYS NETWORKS INC,415.263,-189.69,-87.261,1749.211,015354,ETS,Piyush Patel,"chairman, president & CEO",467.077,600,2946.819,0,0,1,0,0,0,0
2001,EDWARDS LIFESCIENCES CORP,692,-2.179,-1.028,1635.834,133366,EW,Michael A. Mussallem,chairman & CEO,590.913,829.6420000000001,1754.315,0,60.887,1,0,0,0,0
2002,EDWARDS LIFESCIENCES CORP,704,10.326,5.525,1529.652,133366,EW,Michael A. Mussallem,chairman & CEO,636.538,481,4857.375,0,3505.712,1,1,1,1,1
2003,EDWARDS LIFESCIENCES CORP,860.5,12.439,7.173,1782.571,133366,EW,Michael A. Mussallem,chairman & CEO,664.615,356.44,5580.662,0,4377.721,1,1,1,1,1
2004,EDWARDS LIFESCIENCES CORP,931.5,.271,.153,2452.659,133366,EW,Michael A. Mussallem,chairman & CEO,713.846,1150,2098.647,0,69.151,1,1,1,1,1
2005,EDWARDS LIFESCIENCES CORP,997.9,11.493,6.452,2474.297,133366,EW,Michael A. Mussallem,chairman & CEO,717.731,739.5,6069.576,2256.888,2160.399,1,0,0,0,0
2000,BLANCH E W HOLDINGS INC,218.586,-7.314,-.767,226.234,028231,EWB,"Edgar W. Blanch, Jr.",chairman & CEO,904.167,87.188,1087.859,0,0,1,0,0,1,1
2002,EAST WEST BANCORP INC,191.675,16.12,1.466,861.194,118042,EWBC,Dominic Ng,"chairman, president & CEO",570.835,950,7007.93,0,4923.094,1,0,0,1,1
2003,EAST WEST BANCORP INC,211.322,16.297,1.455,1303.887,118042,EWBC,Dominic Ng,"chairman, president & CEO",625,1475.706,2268.317,2.554,5.035,1,0,0,0,0
2004,EAST WEST BANCORP INC,283.896,15.17,1.294,2198.075,118042,EWBC,Dominic Ng,"chairman, president & CEO",680,1475,2214.34,2.994,7.854,1,0,0,0,0
2005,EAST WEST BANCORP INC,441.048,14.763,1.309,2052.672,118042,EWBC,Dominic Ng,"chairman, president & CEO",690,1500,3487.07,943.23,277.163,1,0,0,0,0
2001,EXAR CORP,54.988,.82,.801,801.923,004476,EXAR,"Donald L. Ciffone, Jr.",president & CEO,615.54,0,2794.432,0,2140.767,1,0,0,1,1
2002,EXAR CORP,67.008,-6.92,-6.74,505.248,004476,EXAR,"Donald L. Ciffone, Jr.","chairman, president & CEO",615.54,0,2156.072,0,1501.657,1,0,0,1,1
2003,EXAR CORP,67.196,.965,.9350000000000001,752.376,004476,EXAR,"Donald L. Ciffone, Jr.","chairman, president & CEO",610.809,0,2181.389,0,1523.33,1,0,0,1,1
2005,EXAR CORP,67.024,2.01,1.94,507.454,004476,EXAR,Roubik Gregorian,president & CEO,452.385,0,488.703,0,0,1,0,0,0,0
2001,EXELON CORP,15140,17.477,4.072,15363.974,008539,EXC,"Corbin A. McNeill, Jr.",chairman & co-CEO; chairman and president-Excelon Generation,1050,1500.3,9573.057000000001,1354.104,5557.093,1,0,0,0,0
2002,EXELON CORP,14955,21.571,4.456,17043.918,008539,EXC,John W. Rowe,"chairman, president & CEO; chairman-Excelon energy delivery and sub.",1104,1550,7653.936,1909.985,2720.641,1,0,0,0,0
2003,EXELON CORP,15812,9.326000000000001,1.891,21701.114,008539,EXC,John W. Rowe,chairman & CEO; chairman-Excelon energy delivery and Exelon enterprises,1185.289,1400,7994.203,2733.36,2307.301,1,0,0,0,0
2004,EXELON CORP,14515,19.537,4.304,29198.534,008539,EXC,John W. Rowe,"chairman, president & CEO",1241.346,1675,11222.293,1480.279,2820.373,1,0,0,0,0
2005,EXELON CORP,15357,10.422,2.244,35456.336,008539,EXC,John W. Rowe,"chairman, president & CEO",1250,1642.266,10300.658,0,1915.469,1,0,0,0,0
2000,EXPEDITORS INTL WASH INC,1695.181,22.952,12.548,2752.397,004494,EXPD,Peter J. Rose,chairman & CEO,110,1976.279,2830.125,0,742.346,1,0,0,1,1
2001,EXPEDITORS INTL WASH INC,1652.633,23.453,14.125,2938.278,004494,EXPD,Peter J. Rose,chairman & CEO,110,2239.83,3566.479,0,1215.149,1,0,0,1,1
2002,EXPEDITORS INTL WASH INC,2296.903,21.483,12.788,3398.049,004494,EXPD,Peter J. Rose,chairman & CEO,110,2672.593,4056.994,0,1272.901,1,0,0,1,1
2003,EXPEDITORS INTL WASH INC,2624.941,18.893,11.717,3953.697,004494,EXPD,Peter J. Rose,chairman & CEO,110,2857.222,3320.697,0,351.975,1,0,0,1,1
2004,EXPEDITORS INTL WASH INC,3317.499,19.337,11.446,5954.852,004494,EXPD,Peter J. Rose,chairman & CEO,110,3440.763,3552.263,0,0,1,0,0,1,1
2005,EXPEDITORS INTL WASH INC,3901.781,23.928,13.961,7198.659,004494,EXPD,Peter J. Rose,chairman & CEO,110,3990.896,4286.812,0,184.416,1,1,0,1,0
